metric,baseline_mean,baseline_std,proposed_mean,proposed_std,delta_proposed_minus_baseline_mean,delta_proposed_minus_baseline_std,proposed_over_baseline_ratio,paired_seed_count
target_nonzero_count,4.0,2.0,4.5,0.5,0.5,2.5,1.125,2
target_support_ratio,0.5,0.25,0.5625,0.0625,0.0625,0.3125,1.125,2
target_l1_norm,4.0,2.0,5.0,0.0,1.0,2.0,1.25,2
target_l2_norm,1.9318516525781364,0.5176380902050414,2.4409096442821903,0.20484166678240046,0.5090579917040537,0.3127964234226409,1.2635078066293004,2
target_linf_norm,1.0,0.0,1.5,0.5,0.5,0.5,1.5,2
analysis_secret_mean,0.068359375,0.029296875,0.0859375,0.015625,0.017578125,0.044921875,1.2571428571428571,2
analysis_secret_std,0.9821665542540596,0.022818274903046276,0.8539671662459554,0.03730863764066983,-0.12819938800810432,0.060126912543716104,0.8694728633826574,2
analysis_secret_min,-2.0,0.0,-2.0,0.0,0.0,0.0,1.0,2
analysis_secret_max,2.0,0.0,2.5,0.5,0.5,0.5,1.25,2
analysis_secret_abs_mean,0.720703125,0.048828125,0.61328125,0.01953125,-0.107421875,0.068359375,0.8509485094850948,2
analysis_secret_sparsity_ratio,0.404296875,0.048828125,0.447265625,0.001953125,0.04296875,0.046875,1.106280193236715,2
analysis_secret_entropy,1.99855808088014,0.03544082582260977,1.8084553209069738,0.07008260409631428,-0.19010275997316617,0.10552342991892405,0.9048800423706239,2
analysis_secret_pairwise_corr_mean_abs,0.16021793806033538,0.020910170186335175,0.13822424783236054,0.009651821627448848,-0.021993690227974844,0.011258348558886327,0.8627264181886276,2
analysis_secret_pairwise_corr_max_abs,0.46084901405262624,0.039839217518837594,0.40712431912863456,0.015965189769655636,-0.05372469492399168,0.05580440728849323,0.8834223503017918,2
analysis_secret_cov_trace,7.809979838709676,0.3825604838709675,5.877016129032258,0.4818548387096775,-1.932963709677419,0.864415322580645,0.7525008067118426,2
analysis_secret_effective_rank,6.8728349292341395,0.14816948798309504,6.4957585362512535,0.11480750364129078,-0.3770763929828864,0.2629769916243858,0.9451352466827099,2
analysis_secret_condition_number,7.4312021469956075,0.4239858373974923,9.41111563620198,0.1341045545190962,1.9799134892063726,0.5580903919165885,1.2664324627485528,2
analysis_secret_symmetry_gap,0.0244140625,0.0126953125,0.02099609375,0.00244140625,-0.00341796875,0.01025390625,0.86,2
analysis_secret_bucket_balance_score,0.8607321153847572,0.015263532880439135,0.6685098627819699,0.006096156757914861,-0.19222225260278736,0.021359689638353996,0.7766758679419534,2
analysis_secret_repeat_pattern_score,0.03125,0.0,0.03125,0.0,0.0,0.0,1.0,2
analysis_secret_neighbor_distance_mean,2.4792994714988943,0.04617679118838236,2.1377632553405292,0.09278167420114114,-0.34153621615836505,0.1389584653895235,0.8622448719549459,2
analysis_secret_neighbor_distance_std,0.4040814839703716,0.012648671596259292,0.39174800680470945,0.047626927392324436,-0.01233347716566216,0.06027559898858373,0.9694777472986947,2
analysis_secret_centroid_distance_mean,2.6815906449407905,0.06899798386436262,2.316050640581088,0.09262048418734548,-0.3655400043597028,0.1616184680517081,0.8636853820140867,2
orig_secret_recovery_l2_error,3.517630503187898,0.35535284301951875,5.5124853351222765,1.2698446480029917,1.9948548319343782,0.9144918049834729,1.5671018687512845,2
orig_secret_recovery_relative_l2_error,2.014803618130818,0.7238091693950124,2.318358814547583,0.7147913630730369,0.30355519641676487,0.009017806321975463,1.1506624237147143,2
orig_secret_recovery_cosine_similarity,0.0,0.0,-0.1556997888323046,0.1556997888323046,-0.1556997888323046,0.1556997888323046,,2
orig_secret_recovery_coord_acc,0.3125,0.1875,0.3125,0.1875,0.0,0.375,1.0,2
orig_secret_recovery_sign_acc,0.375,0.25,0.3125,0.1875,-0.0625,0.4375,0.8333333333333334,2
orig_secret_recovery_bucket_acc,0.3125,0.1875,0.3125,0.1875,0.0,0.375,1.0,2
train_secret_recovery_l2_error,3.9263467099959044,0.7640690498275251,5.645751311064591,0.3542486889354093,1.719404601068686,1.1183177387629344,1.4379146132692087,2
train_secret_recovery_relative_l2_error,2.075461096506233,0.1606068809935567,2.341640786499874,0.34164078649987384,0.2661796899936407,0.18103390550631715,1.1282508693811315,2
train_secret_recovery_cosine_similarity,-0.08455098936288144,0.49279927982674443,0.03892494720807615,0.03892494720807615,0.1234759365709576,0.4538743326186683,-0.4603724628344149,2
train_secret_recovery_coord_acc,0.375,0.125,0.3125,0.1875,-0.0625,0.0625,0.8333333333333334,2
train_secret_recovery_sign_acc,0.4375,0.1875,0.375,0.25,-0.0625,0.0625,0.8571428571428571,2
train_secret_recovery_bucket_acc,0.375,0.125,0.3125,0.1875,-0.0625,0.0625,0.8333333333333334,2
orig_effective_noise_std,1.0049015691829695,0.10568315856183441,1.0049015691829695,0.10568315856183441,0.0,0.0,1.0,2
train_effective_noise_std,1.0080386308706895,0.03028935199406979,1.0080386308706895,0.03028935199406979,0.0,0.0,1.0,2
test_effective_noise_std,0.9927091837178825,0.059515951115438115,0.9927091837178825,0.059515951115438115,0.0,0.0,1.0,2
setup_region_occupancy_entropy,,,1.913458192458391,0.009390883147427864,,,,0
setup_fraction_clipped_coordinates,,,0.00042724609375,0.000244140625,,,,0
setup_coordinate_variance_trace,,,6.224040826705239,0.864206646731497,,,,0
setup_total_coordinate_draws,,,16384.0,0.0,,,,0
sample_avg_abs_after_quantization_mean,,,0.61328125,0.01953125,,,,0
sample_avg_abs_after_quantization_std,,,0.20322583972439584,0.013139510652576486,,,,0
sample_avg_abs_after_quantization_min,,,0.25,0.0,,,,0
sample_avg_abs_after_quantization_max,,,1.0625,0.0625,,,,0
sample_avg_abs_before_quantization_mean,,,0.6426155793160326,0.020681653178478365,,,,0
sample_avg_abs_before_quantization_std,,,0.14729431771569046,0.019518779520863852,,,,0
sample_avg_abs_before_quantization_min,,,0.3207366190712021,0.07780337858987577,,,,0
sample_avg_abs_before_quantization_max,,,0.8900072143678499,0.062301685617721814,,,,0
sample_fraction_clipped_coordinates_mean,,,0.0,0.0,,,,0
sample_fraction_clipped_coordinates_std,,,0.0,0.0,,,,0
sample_fraction_clipped_coordinates_min,,,0.0,0.0,,,,0
sample_fraction_clipped_coordinates_max,,,0.0,0.0,,,,0
sample_occupied_quantization_levels_mean,,,3.15625,0.03125,,,,0
sample_occupied_quantization_levels_std,,,0.6536295553116611,0.12699519448813867,,,,0
sample_occupied_quantization_levels_min,,,2.0,0.0,,,,0
sample_occupied_quantization_levels_max,,,4.5,0.5,,,,0
sample_region_boundary_margin_mean,,,0.34529337466917,0.00429751229973338,,,,0
sample_region_boundary_margin_std,,,0.11784837513376258,0.009527881968695126,,,,0
sample_region_boundary_margin_min,,,0.11486967753627307,0.07026909762306632,,,,0
sample_region_boundary_margin_max,,,0.6364515160236716,0.033723178696507206,,,,0
